row.names	c1G	c1R	c2G	c2R	c3G	c3R	c4G	c4R	c5G	c5R	c6G	c6R	c7G	c7R	c8G	c8R	k1G	k1R	k2G	k2R	k3G	k3R	k4G	k4R	k5G	k5R	k6G	k6R	k7G	k7R	k8G	k8R
30	5920.22	4360.22	7469	5189	4152.63	3049.25	5218.93	5408.15	4536.73	2518.13	9165.8	4160.4	3807	2743.8	6492.27	4615.27	1241.6	1159.93	4156.29	3504.64	2985.18	2183.88	3874.1	3226.6	3092.75	2810.83	4121.4	2953.27	2597	2216.42	4049.22	4149.06
31	15213.16	7862.15	12297.3	7128.8	16920.19	10827.11	8879.97	7069.07	12764	6701.39	13777.94	6539.45	11862.28	5112.59	14345.79	8496.26	5823.07	4046.89	6765.4	7608.2	13565.4	7897.4	8240.85	6896.15	10975.1	5331.49	8652.8	6017.96	11826.42	6659.94	10262.42	6162.72
32	1969.87	981.18	1629.18	1120.27	1901.86	1225.14	1370.72	1025.39	1440.5	888.75	1933.26	1159.42	1404.67	1019.94	1602.79	1307.93	794.23	649.37	1282.62	1180.9	1616.04	1216.79	1278.18	1358.41	1518.09	1147.52	1502.79	2047.14	1047.96	598.75	1325.77	1453.69
33	9741.75	4786.38	13641.8	7180.9	13105.59	7893.22	10455.06	5948.69	8942.7	4442.77	10335.23	6153.8	11541.46	5617.54	11013.95	7519.86	3972.21	2825.05	7734.21	5935.16	10379.33	7704.05	10636.16	7361.8	8817.57	6385	9071.39	5506.54	10568.8	5746.87	9277.32	6638.04
34	20306.7	13274.63	17990.18	12577.12	25033.2	17589.2	13099.5	10264.61	18031.58	11919.73	17723.23	11525.11	15840.04	8328.04	13977.9	11201.8	11050.68	8899.96	13837	13624.92	15985.07	12386.63	13568.75	11504.17	13013.92	9436.55	13133.8	9372.63	17105.03	9797	13593.55	9891.63
35	16617.97	12603.47	15014.87	12266.53	15305.62	12039.65	11108.81	12238.11	13823.68	9608.21	16350.17	11561.55	12481.37	9217.28	13648.78	12950.69	16497.83	15853.21	10443.17	12593.97	11855.38	11106.97	10533.14	9327.45	10760.11	9996.08	12598.68	10475.89	16911.82	11491.25	13521.44	11707.71
36	12977.33	9467.23	11594.68	9495.12	13266.53	10925.94	7977.89	8541.89	11703.29	8257.08	10212.62	7849.24	10566.28	7467.94	10933.79	10010.57	8979.93	8678.93	7573.58	8846.33	9802.56	9169.48	7964.36	7521.64	7715.13	7601.73	7274.19	7310.46	13147.76	8808.56	7446.52	6947.37
37	8355.05	4862.72	13283.42	7889.25	10273.56	6376.08	8381.25	5411.67	10645.25	4860.33	12649.85	6759.25	9546.1	3928.7	9541.92	6459.46	3518.62	2347.44	5879.84	5250.62	7257.19	4271.15	7269.41	6432.36	6578.15	4582.31	8780.57	5194.71	7978.18	3842.71	10435.83	6271.67
38	3418.55	1660.36	4803.79	2919.14	4640.88	2684.81	3281.08	2101.67	4587	1962.62	5337.5	3282.5	3484.27	1832.47	4166.23	2847.08	1494.21	962.05	3267.65	3409.17	3447.33	2269.63	3252.94	3043.44	2744.8	2644.53	3564.2	2460.27	4036.22	1817.84	4611.5	2665.81
39	6563.31	3294.38	10073.93	8230.07	12020.32	8659.16	12376.04	3865.43	11600.22	5015.89	11409.94	9148.94	13547.82	3544.5	8090.38	5756.5	3053	3579.95	7797.61	6183.91	12165.62	6389.86	6891.75	4869.38	11961.78	5262.81	9369.31	4354	12086.73	6529.2	8945.17	5778.07
40	14891.12	8651.81	12292.67	8547.71	13134.65	8703.11	9440.37	7023.25	12012.48	6369	13022.67	7559.05	9778.16	4375.88	10223.18	7077.36	6664.76	5124.03	8214.96	7056.17	10342.86	7122.72	7822.53	6897.53	10012.08	5956.71	8278.95	6063	14165.46	7203.26	9489.27	5948.77
41	2870.65	1587.27	2573.25	1534.1	3383.85	1938.04	1882.88	1228.92	2747.77	1366.12	2984.94	1658.41	2120.18	1111.91	2647.42	1932.53	1379.82	1046.8	1788.39	1455	2495.13	1577	1189.43	1110.48	2060.92	1291.91	2118.25	1891.31	2361.35	1176.78	2116.56	1347.17
42	18881.59	11970.86	18761	13936.86	28579.17	19258.06	15734.97	12432.57	22440.06	16210.51	20337.31	15363.86	18427.74	10492.2	17395.42	15339.87	14350.86	11863.26	12864.65	13839.77	19516.58	14089.44	10567.62	9727.75	16148.44	10622.36	13406.13	10015.79	22508.23	14588.11	17378.18	14054.68
43	6801.72	4430.31	7667.27	4051.66	9917.12	4639.78	7592.42	4127.17	4542.04	2350.96	6908.75	3667.62	5339.09	2398.32	4554.33	3125.2	4087.41	3286.88	5198.71	3438.21	5618.71	3291.68	7495.08	4850.77	5049.07	3010.61	7143.6	4055.27	4505.69	1985.83	5618.8	3506.2
44	14329.71	8814.46	17752.28	10659.31	22906.81	14090.1	14820.06	9713.53	10559.74	5281.53	18010.32	10299.68	11098.92	5231.19	11092.55	7301.59	8108.07	6484.34	10819.38	8485.69	11850.62	10847.52	10788	8004.65	11508.82	6579.7	12795.58	8165.82	15188.9	7454.54	12433.58	7546.06
45	15622.15	9505.09	19139.51	11433.59	26261.45	15701.38	14681.35	9255.94	13543.55	7499.54	16985.35	10415.04	14510.51	6742.01	10774.61	7748.79	9083.16	7857.18	9602.88	7932.17	15339.83	11681.6	11925.36	10693.22	13433	7719.19	10818.08	8030.95	14105.88	6929.23	10758.77	6880.37
46	19462.29	13375.61	22449.87	19390.24	37686.59	35486.09	25023.53	26345.76	25542.56	20339.38	28921.74	24645.06	22079.45	18074.25	15940.58	14753.2	19529.23	19168.46	18362	22527.49	22486.22	28125.09	19076.12	17447.12	24618.19	23300.39	18792.38	15624.88	30847.55	25994.36	15610.7	13815.6
47	3292.54	1480.9	5562.06	2706.18	6247.83	2507.56	3124.54	1749.28	3184.12	1681.65	4980	2353.73	2750.81	1503.94	2406.28	1711.96	1361.83	1016.84	3007.04	1908.07	3040.32	1750.35	4475.14	3926.79	2180.65	1497.77	5439.54	4258.13	2026.44	981.09	3443.54	2358.38
48	11727.38	6863.68	12945.39	8258.81	12598.63	7893.02	8769.23	7134.5	9717.58	5139.44	13733.82	8174.68	10439.95	4936.87	10029.8	7260.19	6746.32	5437.4	7193.95	6015.55	9960	8940.85	7721.92	5989.38	10016.23	6324.31	7462.04	5122.32	11281.76	5734.28	9765.67	5906.2
49	7428.52	4565.95	7351.78	5088.57	10110.25	6100.32	9148.81	6992.94	7254.62	3546.92	10430.95	5537.41	6872.48	3442.66	7461.24	5378.8	3203.7	2602.74	4699.44	4052.61	5250.31	3724.37	6945.45	5219.73	6277.55	3625.24	8328	5271.5	6470.56	3220.65	6235.57	3590.81
50	19284.55	13988.98	15678.63	13705.72	18720.89	14226.16	15107.16	16932.89	15485.97	11747.71	17824.14	14365.28	14679.38	11511.56	15694.73	14760.73	15048.85	14287.25	401.72	429.39	12191.24	12018.5	14932.97	11551.86	16849.82	18512.82	12530.18	9460.77	19417.49	14510.65	11950.19	10994.58
51	5775.48	3192.86	6476.2	4235.47	7836	4397.13	5443.7	4086.2	4140.18	1931.76	7366	3927.36	4270.5	2008.64	5665.67	4119.66	5458.03	4351.94	4463.62	3498.77	5899.86	4494.58	4951.07	3287.47	4758.3	3140.1	5321.47	3324.2	5095.85	2839.25	4766.45	3167.73
52	4500.74	2816.96	4032.5	2810.5	6228.08	3886.31	3643.38	3054.39	3294.88	1357.75	4624.2	2724.73	3942.89	1776.34	3706.36	2872.45	2137.3	1696.79	3161.47	2845.8	3932.27	3360.79	3600.46	2382.92	3235	2109.84	4105.92	2337.31	3296.97	1572.44	3954.65	2508.35
53	7237.79	3823.62	12448.08	7528.15	11713.24	6453.44	9264.33	6480.34	9971.13	4180.8	14061.86	6948.68	9565.35	4382.64	8714.25	5203.08	3369.98	2185.91	7090	5650.72	9580.74	6591.79	7670.56	6869.38	7923.74	4528.91	7879.96	5436.88	8364.48	3764.42	9944.19	6050.36
54	13509.61	7843.85	11597.91	7441.73	16159.05	9332.67	9800.32	7171.97	11475.97	5278.23	13802.57	8410.12	11085	5110.38	10470.42	7602.09	7854.8	6072.93	8074.97	6771.8	12346.86	8674.59	9030.37	6617.1	10671.04	6700.38	9330.52	6221.42	14125.98	7288.67	10984.12	6647.85
55	26602.95	20447.11	21343.21	18266.1	23382.62	20226.25	16870.59	17632.07	18543.7	16000.43	22905.76	20454.24	17063.06	12718.08	15642.1	16130.31	20972.87	19458.62	20223.03	24906.29	25115.44	25244.37	20130.05	16523.46	20181.6	19857.68	15330.12	13454.58	27676.66	21952.73	19572.95	19430
56	4643.81	2305.81	7173.54	3384.7	9929.63	4416.79	4810.79	2271.74	8343.29	3637.71	10675.46	5405.15	5391.18	2462.69	6335.25	4426.25	1484.22	968.73	5839.11	3545.11	4334.48	2773.59	8208.65	5594.82	4370.44	2669.5	8657.86	4111.21	6044.47	2575.67	6364.75	3448.69
57	28781.14	21145.69	32475.14	25398.39	20503.35	21463.35	22041.47	21209.07	32052.33	25813.89	30107.57	24342.9	29753.32	19266.71	21492.31	21115.56	17999.76	15567.65	19659.03	16364.71	21170.38	21711.6	17835.88	14956.39	19970.13	17521.35	18108.79	13508.05	30900.12	27733.62	22035.43	20294.17
58	4153.92	2315.92	2922.82	1840.36	5534	2730.11	2270.07	1586.2	3211.93	1776.2	2872.31	1735.06	2750.23	1434	2848.8	1912.07	4436.22	3475.94	4483.58	3781.67	4707.78	3352.91	3258.19	2062.69	4557.06	3137.2	2958	1696.17	5131.73	2489.36	3157	2149.56
59	1816	891.73	1381.35	772.26	2116.41	1113.27	1016.07	553.4	1079.36	553.9	1287.12	751.88	867.36	430.84	983.71	672.62	1420.95	1039.77	837.77	739.82	1532.8	970.71	866	744.84	1330.17	833.67	924.21	584.53	1656.73	740.27	965.34	637.66
60	1436.49	771.66	2740.48	1701.56	3004.45	1435	1809.79	925.63	1912.81	867.72	4514.53	2796.95	2546.72	1067.79	2430.21	1530.79	620.42	467.73	2636.8	2109.33	1756.79	1178.6	3594	1655.89	1433.84	824.19	3297.29	1457.18	2302.59	897.66	2914.48	1655
61	23640.63	15128.27	14768.66	10593.9	30695.38	24774.88	19680.07	16235.22	27460.83	20848.35	23696.67	18591.27	29018.4	21306.05	21448.06	19089.68	12107.52	11158.07	15323.08	18559.29	16546.52	13776.64	14299.82	9998	19828.45	15864.55	14009.86	10844.95	32959.93	23916.86	17246.53	15748.91
62	23336.36	17687.67	18246.93	15165.78	28267.16	28662.06	16812.36	17703.48	27784.71	21493.16	19377.07	16327.53	29670.78	24036.81	18649.98	18689.4	18621.74	18510.83	15641.7	19563.6	20504.83	21244.88	14333.92	10521.91	23213.6	22378.11	19438.67	15066.06	27314.63	20784.83	21846.94	20726.24
63	2105.83	1168	2324.58	1479.17	2672.06	1300.56	1947.83	1171.75	1961.2	1039.87	2382.93	1427.73	1556.06	810.94	2304.17	1550.67	1392.45	1035.86	1509.24	1444.29	1814.45	1131.86	1758.58	980.33	2024.36	1472	1995.13	1259.73	2186.8	1155.8	2117.38	1422.23
64	23236.27	16422.18	26551.02	21518.38	27795.39	24197.58	23419.91	20062.14	20646	15022.58	22755.07	18067.49	20058.29	13412.17	11598.97	10083.26	18800.97	18720.51	16248.27	17959.28	15738.85	19178.09	18769.02	15787.87	25044.99	20195.3	16046.88	12520.04	27687.94	26008.39	19297.74	17965.26
65	19537.04	12548.24	20050.89	16452.87	25694.06	22384.4	25161.37	21380.4	18467.84	13821.71	21733.87	17485.31	14137.6	9790.34	13470.88	11807.86	17758.04	17379.76	15761.87	17752.85	17750.21	20311.46	19717.73	15644.98	24767.37	20200.83	17667.66	13347.16	30919.93	29887.53	18473.4	16718.38
66	27044.45	19745.15	23064.72	18966.42	27495.17	25191.54	28317.07	27214.22	26271.58	19980.81	28286.1	24105.92	24636.4	19242.43	18503.64	17045.17	24355.47	25534.11	16207.26	20580.31	20744.74	23134.17	22335.81	18950.02	32327.24	31050.78	18702.51	15393.49	30042.98	30203.49	25277.23	24289.95
67	6524.45	3000.92	10729.49	6717.84	14301.28	8348.49	9136.51	5996.61	11493.82	4981.28	11557.09	6285.44	7891	3046.83	6280.88	3544.77	3725.88	2309.12	6166	5535.27	9730.06	7918.78	10280.23	6662.2	10536.88	6560.79	11561.87	5736.61	8721.46	3266.5	8351	3731.3
68	15306.93	6488.71	13011.97	7405.03	21592.87	9642.25	12325.82	6184.88	11036.58	5377.1	12407.08	6833	11126.66	4516.34	11927.07	7688.67	8739.39	7116.22	9548.69	6647.35	13318.97	8085.53	12683.74	7539.67	10347.24	5664.44	15506.03	9780.29	13480.12	6498.28	10530.19	7473.75
69	14232.07	8982.98	17840.43	13200.89	20388.2	14287	15679.05	14324.07	16259.65	11118.88	15005.39	10852.24	14564.6	10610.55	15662.03	13762.58	15636.47	15382.37	12386.08	13371.8	16236.79	16029.76	11392.56	8595.96	14441.34	12462.89	12806.94	9016.31	19045.58	13016.21	15260.25	12946.62
70	15452.85	8790	12332.79	8368.18	16000.98	9857.03	10434.41	7826.93	12912.27	7762.08	13004.25	8674.49	9389.35	5497.41	10465.14	8640.47	10663.53	8671.38	7944.22	7374.75	12176.15	10108.68	9830.24	6337.42	9763.89	7147.04	10604.49	6448.72	14368.03	8585.78	10268.06	7350.69
71	15938.69	9071.49	16255.23	11644.31	30877.33	19873.48	20492.08	16687.67	20619.42	13525.24	27125.03	18702.65	18455.49	11834.62	15482.31	13679.14	13261.84	11420.76	13301.05	14500.87	16660.25	16083.43	17296.36	12806.1	18346.28	14810.38	21963.64	15094.09	20432.33	13333.47	15528.24	12988.29
72	17266.89	10838.42	18851.58	16387.68	25817.2	24130.14	19449.12	19016.92	19866.57	15291.15	20068.75	17365.65	21879.33	19827.06	18238.06	17439.98	15589.99	15003.36	15789.78	20473.83	18372.19	21297.37	16858.2	14008.54	20714.04	19070.16	18367.91	14385.49	31221.12	24885.86	19155.83	18865.75
73	3187.54	1526.09	3904.92	2313.32	8241.34	3984.79	3045.96	1893.7	3773.55	1771.24	5188.61	2903.95	4029.91	1962.1	3486.66	2299.63	2360.11	1669.05	4977.69	3213.15	3677.56	2685.12	7071.33	4010.71	3574.72	2251.09	5899.19	3070.33	5319.24	2630.24	4245	2622.78
74	3227.33	1535.79	4546.73	2901.27	10046.29	4120.76	3171.58	1956.29	5160.69	2134.79	6166.8	3485.74	4824.91	2052.4	3415.13	2063.67	1455.27	981.93	3404.83	2362.19	4529.45	2440.82	6479.75	2870.43	3819.13	1663.79	5584.66	2603.98	5251.05	2029.28	4379.84	2396.68
75	5817.86	2839.9	9125.43	5313.21	11604.03	5611.03	5670.23	3103.02	7612.73	3975.54	10406.33	6167.76	7120.11	3019.92	7120.23	5056.53	2704.62	1631.12	7481.15	4417.7	7882.67	4778.67	9243.87	6664	6045.97	3637.75	9301.65	5267.13	10507.35	5166.55	9223.51	5908.43
76	16565.97	9522.86	23749.9	14810.38	28809.7	18991.45	18854.87	12973.24	20136.06	14815.47	23012.87	14928.98	21854.63	9946.63	19169.25	15953.86	9952.96	6971.48	12065.03	9396.72	21023.8	15054.75	12101.6	10378.3	20031.18	11020.47	12293.82	8456.95	27282.41	17095.08	15348.21	12246.19
77	11343.83	6066.52	10248.18	5707.76	15501.43	8688.84	9240.12	6308.07	11812.12	5725.72	14655.07	8791.72	10744.35	4489.92	10516.14	7560.07	6754.11	4605.55	6552.1	4961.07	11651.41	8309.09	8967.72	6119.72	9723.64	5806.68	8661.56	4782.06	14633.74	7397.21	9671.18	5957.71
78	7953.23	4265.12	12546.39	6273.73	21381.09	12557.08	8209.21	4508.9	13104.26	7054.54	13979.27	8341.71	14087.89	7009.08	10661.1	7429.57	4496.61	3462.75	10648.98	8634.34	11562.97	6808.04	13429.99	8208.87	11026.51	5496.52	10879.47	6508.95	16646.19	9979.7	10964.42	7856.01
79	702.05	644.73	1388.67	1177.67	1116.56	1040	648.75	586.62	689.45	634	1034.27	803.53	694.29	866.76	778.33	815.17	249.09	299.87	517.4	585.8	629.26	631.32	741.61	897.11	1015.7	2279.6	1027.19	1908.06	609.31	880.94	840.5	1017.83
80	2715.5	1500.5	2412.17	1455.75	2835.25	1486.17	1402.18	1112	1687.38	912.38	1795.06	1006.88	1172.94	775.06	2194.27	1477.55	1168.19	821.06	1219	830.75	2293	1486.17	1156.92	911.76	2265.85	2516.92	1574.29	1664.28	2383.31	1169.81	1875.45	924
81	966.33	757.59	1060.46	916.65	996.17	784.08	1318.56	1757.11	1092.07	870.93	1787.27	1029.91	1482.42	919.5	1418.5	990.64	849.47	768.03	913.11	844.22	533.28	629.59	889.44	918.67	936.87	1288.8	952.56	1745.31	622.55	527.65	1282.91	955.09
82	8423.64	4918.03	6372.25	4195.25	8832	5376.63	5956.07	5279.21	7184.88	3627.88	8054.38	4623	7293.2	3013.54	9977.93	6816.73	3979.92	2631.93	3730.69	2955.38	6067.54	4033.58	2327.62	1904.31	6393.11	4896.7	4217.16	3989.58	9152.1	5087.71	6658.33	5266.67
83	1182.55	893.91	2041.5	1340.9	1581.2	908.4	1141.44	817.44	1202.06	1018.87	1603.95	1171.9	1312	1031.92	1206.65	965.88	531.86	712.58	819.58	726.67	863.55	757.1	887.43	920.94	1000.73	1599.27	1114.08	1529.58	1053.8	654	1530.67	1762
84	774.11	596.11	1110.76	1091.42	758.08	738.92	574.5	505.75	994.53	727.4	1479.5	1053.08	963.11	1190.11	938.57	816.84	366.45	481.28	592.42	718.5	501.56	505.17	727.17	1008.33	708.47	1615.67	1241.59	2338.16	404	745.4	1427.67	1986.67
85	1533.24	1227.86	4984.22	4357.67	1791.25	1295.42	3539.89	3440.11	1393.58	1060.67	1564.91	1069.09	719.04	367.87	991.36	984.18	804.57	1123.96	1311.83	1116.11	823.68	618.05	2846.22	2937.33	1690.5	2661.41	2452.8	3009.73	944.26	1201	2151.6	2473.6
86	1693.04	1459.61	2705.77	2294.92	2048.32	1339.95	1616.87	1540.31	1449.73	1069.2	1749	1118.58	885.22	785.46	962.2	973.13	586.5	728.25	1007.7	1075.94	1119.46	903.09	1705.11	2093.78	1923	3193.86	2004.71	2052.79	1208.14	1721.13	1372.53	1673.33
87	1027.77	768.39	2448.8	2041	833.24	644.71	888.89	757.74	770.4	729	617.96	557.87	552.79	427.82	567.74	499.59	527.66	724.66	695.15	701.05	631.33	568.25	858.84	762.76	794.6	1156.53	1075	1660.5	520.66	597.21	922.44	975
88	3688.04	2273.54	6002.35	5010.18	5949.82	4245.09	3319.5	3190.63	4123.93	1560.88	6446.55	3799	3449.94	1666.38	2833.2	2208.85	1716.03	1172.59	2425.12	2619.65	3556.97	4296.88	4272.36	2953.43	4021.59	3058.14	6417.79	3295.07	2806.42	1256.89	4055.39	2095.7
